generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
66170,67436.6328,992900.0000,229227,0.010130,0.000000,0.032593,0.005648,0.198913,-0.523385,0.000000,-0.039540,0.051942,0.032424,-0.090462,12.5,7,18,5.6,3,11,5344,1.730308,3580,0.000685,0,0.000248
66180,66415.4766,929300.0000,238251,0.036348,0.000000,0.017354,0.005279,0.260290,-0.615943,0.000000,0.637750,0.069474,0.000000,0.000000,12.5,7,18,5.6,2,10,4704,1.735868,2441,0.002347,0,0.001332
66190,94691.9141,1042400.0000,304095,0.167307,0.000000,0.032836,0.009125,-0.083088,-0.460490,0.000000,0.079555,0.083772,0.036697,-0.115175,12.5,7,18,5.6,2,10,4344,1.731956,1848,0.000976,0,0.000145
66200,61674.2578,853100.0625,240829,0.098078,0.000000,0.021506,0.003596,0.188944,-0.660351,0.000000,0.287454,0.094827,0.030336,-0.097589,12.4,7,17,5.5,2,11,4645,1.735738,3685,0.001762,0,0.000965
66210,65290.6641,785950.0000,277914,0.053266,0.000000,0.014915,0.006941,0.233415,-0.590239,0.000000,0.460801,0.164280,0.057762,-0.157005,12.5,6,18,5.6,2,11,4531,1.738598,2822,0.001042,0,0.000162
66220,71240.6406,972800.0000,244614,0.081202,0.000000,0.027216,0.011240,0.094050,-0.564265,0.000000,0.029717,0.092205,0.048059,-0.133216,12.5,7,17,5.6,2,11,4731,1.733228,3756,0.001441,0,0.000793
66230,56002.7109,780100.0625,239535,0.000037,0.000000,0.000000,0.008057,0.182708,-0.651379,0.000000,0.272030,0.085719,0.000000,0.000000,12.5,7,18,5.5,2,10,4818,1.737346,2588,0.002046,0,0.001607
66240,51003.6328,713500.0000,237760,0.061370,0.000000,0.011375,0.005710,0.210680,-0.742686,0.000000,0.432300,0.094612,0.000000,0.000000,12.5,7,18,5.6,2,10,4583,1.729233,3700,0.001808,0,0.000856
66250,39977.2734,181479.2188,236874,0.000957,0.000000,0.055024,0.006838,-0.973818,-0.827138,0.000000,0.671335,0.052577,0.000000,0.000000,12.4,7,18,5.6,3,10,4850,1.739024,2583,0.000866,0,0.000992
66260,36497.0742,580100.0625,211341,0.012713,0.000000,0.028280,0.006909,0.182851,-0.699307,0.000000,0.480631,0.082781,0.000000,0.000000,12.4,6,18,5.6,2,11,5312,1.749280,3735,0.001876,0,0.000727
66270,41376.5117,580900.0000,238115,0.048613,0.000000,0.032521,0.006243,0.276752,-0.765615,0.000000,0.576946,0.088532,0.000000,0.000000,12.5,8,18,5.5,2,10,4858,1.746128,3962,0.001798,0,0.000773
66280,51281.8633,748350.0625,229058,0.259489,0.000000,0.017672,0.010781,-0.209009,-0.610274,0.000000,0.234102,0.123752,0.037243,-0.120794,12.5,7,18,5.5,2,11,4912,1.731201,3344,0.000964,0,0.001069
66290,30034.0117,515350.0312,195702,0.050429,0.000000,0.022375,0.004621,0.150587,-0.726632,0.000000,0.223220,0.118235,0.032171,0.007365,12.5,7,18,5.6,2,10,5418,1.740354,3464,0.002269,0,0.002208
66300,40472.8672,641150.0000,211915,0.181643,0.000000,0.026617,0.004310,0.238291,-0.699179,0.000000,0.345833,0.057175,0.042315,-0.093612,12.5,7,19,5.6,2,10,5263,1.735008,3312,0.001392,0,0.001093
66310,35275.6172,586550.0000,202170,0.076272,0.000000,0.011508,0.004991,0.194634,-0.676421,0.000000,0.522974,0.053194,0.000000,0.000000,12.5,8,19,5.6,2,11,5399,1.746192,3995,0.001661,0,0.001898
66320,21332.4883,249843.2031,173556,0.000122,0.000000,0.000000,0.004581,-0.970747,-0.731409,0.000000,0.463893,0.097939,0.000000,0.000000,12.5,7,18,5.6,2,11,6165,1.726852,2103,0.002684,0,0.001703
66330,36472.6250,583450.0000,210991,0.008393,0.000000,0.017097,0.003943,0.238048,-0.717706,0.000000,0.249750,0.086903,0.024783,-0.069694,12.5,7,18,5.6,2,11,5510,1.729240,3861,0.001862,0,0.001141
66340,84858.3281,1040200.0625,270861,0.131989,0.000000,0.025425,0.005644,0.240526,-0.582947,0.000000,0.220719,0.069911,0.030096,-0.095384,12.5,7,17,5.6,2,10,4162,1.740474,3458,0.001121,0,0.000276
66350,42710.6016,685900.0000,210751,0.000353,0.000000,0.027211,0.002985,0.198960,-0.609859,0.000000,0.173330,0.145930,0.000000,0.000000,12.5,8,18,5.6,2,11,5610,1.741091,3599,0.001293,0,0.000573
66360,78585.1016,1047550.0625,250307,0.232560,0.000000,0.020130,0.008251,0.173188,-0.534483,0.000000,0.421507,0.072061,0.040581,-0.112271,12.5,8,18,5.5,2,11,4599,1.745335,2924,0.001152,0,0.000380
66370,88254.1797,981200.0000,296876,0.003678,0.000000,0.076089,0.009085,0.129502,-0.621365,0.000000,0.340533,0.127867,0.000000,0.000000,12.5,8,18,5.6,2,11,3531,1.741464,3221,0.001382,0,0.000155
66380,36425.6289,636300.0000,192738,0.048246,0.000000,0.012473,0.004989,0.122995,-0.659248,0.000000,0.141087,0.086030,0.050107,-0.025216,12.5,7,17,5.5,2,11,5548,1.745515,2898,0.002404,0,0.002967
66390,28163.6523,505600.0000,187576,0.016945,0.000000,0.029455,0.006614,0.217352,-0.732966,0.000000,0.272604,0.119624,0.039152,-0.108480,12.5,7,18,5.6,2,11,5590,1.736960,4147,0.002524,0,0.001792
