generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
0,12260.7910,210800.0000,195031,0.022458,0.000000,0.021069,0.004700,0.318158,-0.774690,0.000000,0.647143,0.183178,0.000000,0.000000,12.0,12,12,6.0,6,6,5380,1.791519,3300,0.000548,0,0.000239
10,21507.6074,447750.0000,161646,0.140955,0.000000,0.063053,0.001035,0.166971,-0.711583,0.000000,0.470310,0.137223,0.150729,-0.372765,12.0,9,15,6.0,3,8,5786,1.788363,4630,0.003041,0,0.001487
20,12999.8809,245526.3906,140688,0.103283,0.000000,0.018625,0.001521,-0.955723,-0.730110,0.000000,0.420467,0.230265,0.047703,-0.097623,11.9,9,15,6.1,3,10,6415,1.774789,3720,0.011321,0,0.011883
30,23334.0000,428450.0000,184152,0.042633,0.000000,0.021324,0.003678,0.192606,-0.738824,0.000000,0.397455,0.176555,0.011203,0.098471,11.9,9,17,6.0,2,11,5827,1.774525,4031,0.001920,0,0.001710
40,19837.2598,389400.0000,172202,0.000000,0.000000,0.000000,0.003091,0.102703,-0.750991,0.000000,0.457457,0.211661,0.000000,0.000000,11.9,9,16,6.0,2,9,5879,1.777510,4813,0.003013,0,0.004098
50,26902.8438,501000.0000,181041,0.059744,0.000000,0.096513,0.003417,0.199946,-0.664127,0.000000,0.403948,0.120886,0.000000,0.000000,11.8,8,16,6.0,3,10,5717,1.753019,3883,0.004404,0,0.004223
60,29356.4199,523450.0000,188487,0.010348,0.000000,0.046317,0.006188,0.101735,-0.720151,0.000000,0.377515,0.146189,0.050026,-0.010846,11.7,8,15,6.0,2,10,5532,1.763568,3011,0.003021,0,0.002346
70,20859.2324,238972.5938,177708,0.024444,0.000000,0.042826,0.010594,-0.967791,-0.791171,0.000000,0.612024,0.144542,0.000000,0.000000,11.7,8,16,6.0,2,10,5705,1.742387,3738,0.001820,0,0.000698
80,32488.6875,506950.0000,215165,0.115587,0.000000,0.034968,0.004114,0.288476,-0.732850,0.000000,0.360408,0.158020,0.008368,-0.020529,11.7,7,16,6.0,2,9,5299,1.713683,2449,0.000706,0,0.000992
90,33439.5469,480400.0000,232189,0.024876,0.000000,0.051525,0.011240,0.243130,-0.775986,0.000000,0.502601,0.136830,0.000000,0.000000,11.8,8,16,6.0,3,9,4803,1.693264,4700,0.001870,0,0.002583
100,24865.6016,484850.0000,173843,0.000000,0.000000,0.000000,0.014000,0.135329,-0.677408,0.000000,0.312962,0.147305,0.000000,0.000000,11.7,7,16,6.0,3,9,5938,1.742241,3995,0.001662,0,0.001121
110,27387.4062,442250.0000,208139,0.052288,0.000000,0.046067,0.004736,0.265079,-0.788011,0.000000,0.519610,0.190311,0.038313,-0.061684,11.7,7,16,6.1,3,10,5399,1.732757,3714,0.001139,0,0.001040
120,48178.8203,677400.0000,236479,0.119529,0.000000,0.025587,0.016166,0.013000,-0.695497,0.000000,0.461426,0.150967,0.033631,-0.124667,11.9,7,18,6.1,3,11,4638,1.738070,2751,0.002179,0,0.000896
130,37490.2891,638900.0000,196954,0.000000,0.000000,0.000000,0.009061,0.173705,-0.687651,0.000000,0.264148,0.116927,0.000000,0.000000,11.8,7,17,6.1,3,9,5392,1.747223,4492,0.001821,0,0.001861
140,32308.8379,499750.0000,215470,0.130316,0.000000,0.018081,0.009153,0.253953,-0.773511,0.000000,0.493188,0.173410,0.013697,-0.008503,11.8,6,16,6.1,3,10,4966,1.706604,4176,0.001577,0,0.001946
150,21144.4473,423700.0000,169351,0.000000,0.000000,0.000000,0.005005,0.141658,-0.766130,0.000000,0.471570,0.077547,0.000000,0.000000,11.9,6,17,6.1,2,9,5999,1.769127,4273,0.003086,0,0.003749
160,20610.3594,418550.0312,166752,0.027928,0.000000,0.041015,0.005590,0.190833,-0.717394,0.000000,0.412721,0.116187,0.000000,0.000000,11.9,8,17,6.1,2,11,5990,1.760768,3260,0.002397,0,0.001210
170,26227.7168,481500.0000,184294,0.066329,0.000000,0.071788,0.015115,0.220477,-0.713743,0.000000,0.493240,0.088982,0.000000,0.000000,11.9,8,17,6.1,2,11,5842,1.734507,2871,0.003136,0,0.002169
180,27724.4961,445400.0000,209055,0.019077,0.000000,0.030334,0.011118,0.175810,-0.754419,0.000000,0.554801,0.130092,0.000000,0.000000,11.8,8,15,6.1,2,10,5354,1.720509,3298,0.002501,0,0.003014
190,26447.6660,479050.0312,185871,0.001626,0.000000,0.018913,0.004693,0.225611,-0.723458,0.000000,0.354291,0.114844,0.005446,-0.015625,11.9,6,16,6.0,2,11,5602,1.746964,2203,0.003496,0,0.002940
200,21539.4473,426350.0000,170842,0.200772,0.000000,0.024524,0.026462,-0.034853,-0.681771,0.000000,0.391913,0.137255,0.085343,-0.225517,11.9,8,17,6.1,2,10,5852,1.742718,4780,0.003878,0,0.003123
210,47491.4766,681300.0000,233657,0.023239,0.000000,0.065983,0.008615,0.083204,-0.679440,0.000000,0.300516,0.124978,0.100934,-0.262513,11.8,8,16,6.0,2,10,5065,1.735553,3407,0.000748,0,0.000577
220,47314.2109,711550.0000,223223,0.094558,0.000000,0.021905,0.010240,0.305230,-0.623347,0.000000,0.468771,0.032773,0.000000,0.000000,11.9,7,16,6.0,2,9,5166,1.709561,4136,0.002076,0,0.000617
230,52594.0898,697500.0000,250959,0.066200,0.000000,0.022475,0.012482,0.209217,-0.715070,0.000000,0.386042,0.167286,0.058577,0.118837,11.9,6,16,6.1,2,11,4518,1.737881,4165,0.001059,0,0.000800
240,20601.0000,264362.0000,169637,0.030794,0.000000,0.073410,0.017929,-0.967096,-0.791865,0.000000,0.539653,0.083283,0.000000,0.000000,11.9,7,18,6.1,2,10,5875,1.732232,4518,0.004323,0,0.002858
250,45517.0273,648800.0000,233027,0.061669,0.000000,0.017734,0.009936,0.249716,-0.725119,0.000000,0.432680,0.137699,0.056071,-0.152674,11.8,8,16,6.0,2,11,4581,1.727157,3525,0.001077,0,0.001866
260,25902.2422,478350.0000,182471,0.076793,0.000000,0.060092,0.018516,0.213041,-0.730306,0.000000,0.339973,0.098944,0.000000,0.000000,11.8,8,15,6.0,2,10,5650,1.713599,3630,0.001904,0,0.002526
270,38741.5117,633250.0000,205835,0.081101,0.000000,0.035674,0.021134,0.058339,-0.674608,0.000000,0.315802,0.151523,0.008077,-0.038709,11.8,7,15,5.9,2,9,5423,1.725795,4000,0.002033,0,0.002045
280,21269.6367,407500.0000,176915,0.010003,0.000000,0.070337,0.010248,0.211031,-0.731506,0.000000,0.449741,0.094071,0.000000,0.000000,11.9,9,16,6.0,2,9,5930,1.692750,3986,0.001933,0,0.003059
290,33200.4297,587250.0000,190157,0.057252,0.000000,0.012809,0.007134,0.075178,-0.672425,0.000000,0.178437,0.119001,0.058156,-0.083539,11.8,8,16,6.0,2,10,5532,1.698879,4456,0.001791,0,0.001752
300,25505.4785,428612.8125,200259,0.044961,0.000000,0.030957,0.006113,-0.584695,-0.770196,0.000000,0.527869,0.153634,0.241654,0.479714,12.0,8,16,5.8,2,9,5738,1.709759,2977,0.001577,0,0.000276
310,29035.4688,550200.0000,178344,0.065069,0.000000,0.022727,0.013882,0.073161,-0.698136,0.000000,0.406411,0.170450,0.044083,-0.044170,11.8,7,16,5.9,2,9,5817,1.741509,4613,0.003488,0,0.002325
320,29918.4180,483750.0000,208908,0.051683,0.000000,0.061377,0.016698,0.233369,-0.760289,0.000000,0.507234,0.114930,0.067695,-0.007198,11.8,7,17,6.0,2,10,5737,1.735098,2476,0.002438,0,0.002478
330,24611.2090,463700.0000,179357,0.008724,0.000000,0.123083,0.018670,0.156934,-0.744136,0.000000,0.541572,0.080410,0.000000,0.000000,11.7,7,16,6.0,2,9,5809,1.720212,3415,0.002922,0,0.002413
340,44537.2070,609500.0000,245106,0.084265,0.000000,0.008298,0.014855,0.174971,-0.635976,0.000000,0.363927,0.135005,0.073229,0.186387,11.8,8,15,6.1,3,10,5030,1.762378,2934,0.000704,0,0.000340
350,23778.1035,422400.0000,190953,0.107349,0.000000,0.054169,0.027412,0.247040,-0.714544,0.000000,0.389148,0.158934,0.114493,-0.286430,11.8,8,17,6.1,2,10,5854,1.730924,3221,0.000508,0,0.000457
360,33816.9062,576100.0625,197275,0.066407,0.000000,0.029346,0.022045,0.213783,-0.733819,0.000000,0.542754,0.097467,0.223227,0.390980,11.7,7,16,6.1,2,9,5439,1.763899,3991,0.001978,0,0.001868
370,16071.4033,236595.5938,159455,0.010379,0.000000,0.026469,0.008798,-0.970564,-0.696521,0.000000,0.552953,0.084369,0.000000,0.000000,11.8,7,17,6.0,2,10,6440,1.751027,4395,0.004345,0,0.004693
380,32349.1973,506900.0000,214981,0.066669,0.000000,0.040880,0.010548,0.093378,-0.720714,0.000000,0.511012,0.112853,0.000000,0.000000,11.9,8,16,5.9,2,10,5466,1.698305,3546,0.001577,0,0.001317
390,26489.3066,223082.0000,226383,0.156756,0.000000,0.017112,0.011265,-0.964517,-0.776501,0.000000,0.473855,0.212711,0.044794,0.082708,11.9,6,17,5.9,2,10,5198,1.707561,4667,0.000853,0,0.001346
400,33563.8086,504500.0000,224563,0.107899,0.000000,0.042601,0.010390,0.236309,-0.728166,0.000000,0.547130,0.152643,0.081234,0.015138,11.8,8,16,6.0,2,9,5491,1.720507,1691,0.000979,0,0.000267
410,22524.6680,433150.0000,176693,0.029593,0.000000,0.019122,0.011751,-0.115654,-0.691283,0.000000,0.280946,0.126172,0.124989,-0.317241,11.8,9,15,6.1,2,10,5988,1.746362,3707,0.002659,0,0.002623
420,24908.0176,334514.2188,203031,0.015321,0.000000,0.053604,0.022220,-0.956795,-0.699403,0.000000,0.660854,0.053309,0.000000,0.000000,11.9,8,17,5.9,2,10,5892,1.677942,2718,0.003129,0,0.000544
430,19750.8730,144331.2031,191972,0.001854,0.000000,0.059462,0.008900,-0.937220,-0.825669,0.000000,0.562699,0.129026,0.000000,0.000000,11.9,7,16,5.9,2,10,5620,1.724226,3929,0.002339,0,0.002217
440,54488.2930,709850.0625,257390,0.058395,0.000000,0.036221,0.014879,0.091968,-0.635064,0.000000,0.420312,0.088205,0.052280,-0.142908,11.8,8,16,5.9,2,10,4904,1.758306,2476,0.000897,0,0.000119
450,61615.4023,752850.0625,271992,0.012392,0.000000,0.025313,0.004713,0.260770,-0.708841,0.000000,0.441973,0.123394,0.064937,0.127899,11.9,7,16,5.9,2,10,4420,1.737782,2253,0.000982,0,0.000147
460,43688.6484,342990.0000,261837,0.035781,0.000000,0.033780,0.025055,-0.972166,-0.759647,0.000000,0.531288,0.094436,0.056868,-0.154718,11.9,6,17,5.9,2,10,4392,1.730805,2943,0.000623,0,0.000424
470,21572.8203,402797.9062,162705,0.000000,0.000000,0.000000,0.012420,-0.932300,-0.772101,0.000000,0.509248,0.122197,0.000000,0.000000,11.9,6,18,6.0,2,9,5928,1.728743,2909,0.005065,0,0.006090
480,22201.0723,427000.0000,175746,0.193988,0.000000,0.108763,0.028618,0.139011,-0.738726,0.000000,0.497878,0.064438,0.000000,0.000000,12.0,6,18,5.8,2,10,5826,1.723173,4452,0.003605,0,0.004316
490,13871.1982,181864.2031,139823,0.003619,0.000000,0.089987,0.009630,-0.972616,-0.697762,0.000000,0.523523,0.089564,0.000000,0.000000,12.0,7,17,5.7,2,9,6617,1.704386,3745,0.015882,0,0.016183
500,42701.3203,661450.0000,215727,0.053865,0.000000,0.048917,0.011409,0.139958,-0.700659,0.000000,0.337536,0.139623,0.112048,-0.288147,11.9,8,15,5.7,2,11,5066,1.740747,3443,0.001719,0,0.001493
510,35933.7305,602450.0000,200455,0.016023,0.000000,0.037516,0.026110,0.003804,-0.654509,0.000000,0.201322,0.170912,0.000000,0.000000,11.8,9,15,6.0,2,10,5432,1.731367,2921,0.002844,0,0.002738
520,23619.4414,430850.0000,185572,0.000000,0.000000,0.000000,0.019909,0.015503,-0.721471,0.000000,0.393758,0.117848,0.000000,0.000000,11.9,7,15,5.8,2,11,5798,1.731794,4348,0.002457,0,0.002678
530,37941.7539,575700.0000,219579,0.210738,0.000000,0.053731,0.017145,0.213002,-0.708558,0.000000,0.333640,0.141453,0.036347,-0.132864,11.9,8,16,5.9,2,10,4867,1.756468,2920,0.001877,0,0.001749
540,19492.7910,405400.0000,164127,0.018346,0.000000,0.077801,0.020658,0.271005,-0.723142,0.000000,0.447067,0.183177,0.000000,0.000000,11.9,9,15,5.9,2,10,6235,1.740482,4625,0.003379,0,0.004873
550,51400.7656,640800.0000,266360,0.157525,0.000000,0.019969,0.032920,0.252463,-0.659814,0.000000,0.230184,0.194031,0.007684,0.084218,11.9,8,16,5.9,2,9,4233,1.709090,2943,0.000688,0,0.000610
560,21736.4766,403700.0000,181918,0.000120,0.000000,0.064334,0.019284,0.264208,-0.762914,0.000000,0.501702,0.080785,0.000000,0.000000,12.0,7,16,5.8,2,10,5757,1.687267,4501,0.003127,0,0.005728
570,29635.3965,497100.0000,200695,0.216565,0.000000,0.095692,0.026092,0.144258,-0.750309,0.000000,0.630992,0.052781,0.000000,0.000000,12.1,6,16,5.8,2,10,5500,1.721250,3128,0.004281,0,0.004913
580,41427.7188,572950.0000,240983,0.079531,0.000000,0.060045,0.019807,0.284516,-0.732176,0.000000,0.422715,0.107863,0.000000,0.000000,12.1,8,15,5.7,2,10,4690,1.705889,3909,0.000771,0,0.001108
590,22153.2090,411750.0000,181541,0.002426,0.000000,0.161003,0.013967,0.185144,-0.795832,0.000000,0.533166,0.142976,0.000000,0.000000,12.0,7,16,5.7,2,10,5714,1.706762,4262,0.004356,0,0.003917
600,21962.7520,423200.0000,175810,0.001309,0.000000,0.021819,0.013410,0.205717,-0.783217,0.000000,0.464620,0.102278,0.000000,0.000000,11.9,7,16,5.6,2,10,5886,1.719629,4629,0.002465,0,0.002251
610,32779.4219,571400.0000,193502,0.002337,0.000000,0.169096,0.024626,0.060637,-0.690710,0.000000,0.321920,0.078723,0.000000,0.000000,12.0,7,17,5.8,2,11,5628,1.721796,2586,0.003613,0,0.003673
620,28005.9062,276767.8125,198818,0.048928,0.000000,0.042191,0.024222,-0.969007,-0.804513,0.000000,0.556589,0.149940,0.019334,0.131346,12.0,7,18,5.8,2,10,5346,1.714556,3778,0.002490,0,0.002837
630,23575.7246,410005.3125,190262,0.000489,0.000000,0.000000,0.022133,-0.787887,-0.749486,0.000000,0.467648,0.093658,0.000000,0.000000,12.0,7,16,5.8,2,10,6005,1.721133,3858,0.002550,0,0.001569
640,23338.4609,417250.0000,188169,0.052669,0.000000,0.050584,0.024841,0.247588,-0.793546,0.000000,0.678336,0.155834,0.000000,0.000000,11.9,7,16,5.6,2,9,5561,1.687469,3038,0.005158,0,0.008959
650,50278.1172,683100.0625,245124,0.145575,0.000000,0.020392,0.020976,0.248613,-0.695815,0.000000,0.349346,0.122171,0.013791,-0.016410,12.0,7,16,5.6,2,11,4614,1.722103,2812,0.001950,0,0.001808
660,29691.1797,521850.0312,192082,0.002920,0.000000,0.062491,0.006191,0.209753,-0.762846,0.000000,0.546719,0.090532,0.000000,0.000000,12.2,8,16,5.6,2,12,5657,1.694003,3670,0.004218,0,0.004072
670,80478.8750,970400.0000,274982,0.121914,0.000000,0.033524,0.017130,0.168659,-0.552040,0.000000,0.147016,0.081757,0.021600,-0.083467,12.3,8,16,5.6,2,11,4034,1.653146,2619,0.000965,0,0.000462
680,41459.8320,620850.0625,224215,0.028586,0.000000,0.054566,0.013396,0.167575,-0.705817,0.000000,0.302645,0.150591,0.000000,0.000000,12.2,7,16,5.7,2,9,5187,1.665309,4174,0.002769,0,0.002708
690,61649.9570,849300.0000,241314,0.190170,0.000000,0.021948,0.013001,0.119314,-0.586377,0.000000,0.200864,0.081024,0.024061,-0.091656,12.1,7,17,5.6,2,11,4522,1.623659,3696,0.001082,0,0.001891
700,55678.6133,716000.0000,258455,0.050824,0.000000,0.015503,0.007812,0.127240,-0.720972,0.000000,0.475478,0.037262,0.016079,-0.045626,12.3,8,16,5.5,2,11,4425,1.629267,3068,0.001005,0,0.000802
710,54144.3750,743400.0000,243745,0.073411,0.000000,0.043086,0.024930,-0.053310,-0.628416,0.000000,0.236493,0.150501,0.062304,0.174725,12.2,7,17,5.7,2,9,4887,1.677371,3079,0.001225,0,0.001477
720,20024.6348,404300.0312,168509,0.000227,0.000000,0.000000,0.010351,0.187200,-0.724339,0.000000,0.461144,0.046936,0.000000,0.000000,12.3,7,18,5.8,2,10,6143,1.630634,2287,0.004365,0,0.004525
730,44851.5000,640200.0000,234763,0.066274,0.000000,0.013483,0.027642,0.125269,-0.663637,0.000000,0.323135,0.094627,0.000000,0.000000,12.4,8,18,5.7,2,10,5006,1.585722,4306,0.002012,0,0.000611
740,23544.6348,418650.0000,189827,0.014200,0.000000,0.146648,0.028732,0.126156,-0.743983,0.000000,0.416997,0.229731,0.154541,-0.343066,12.4,8,17,5.7,3,10,5710,1.663834,2458,0.003594,0,0.005744
750,36244.3008,542250.0000,223623,0.000258,0.000000,0.009391,0.025120,0.137200,-0.752435,0.000000,0.503946,0.072683,0.000000,0.000000,12.4,8,17,5.7,2,10,5046,1.672472,3647,0.001315,0,0.002482
760,23215.0586,437850.0000,179333,0.082373,0.000000,0.008742,0.019564,0.180945,-0.738486,0.000000,0.417180,0.135857,0.078222,0.246498,12.3,8,18,5.7,2,11,5828,1.624197,2784,0.006139,0,0.008786
770,31053.0840,584700.0000,179923,0.084102,0.000000,0.064760,0.022952,0.225687,-0.617764,0.000000,0.139127,0.143147,0.048795,-0.060339,12.3,7,18,5.8,2,10,5852,1.635338,4237,0.003661,0,0.006196
780,39857.3789,691550.0000,193997,0.184647,0.000000,0.027913,0.016106,0.175197,-0.634270,0.000000,0.324938,0.071428,0.044463,-0.024953,12.3,6,17,5.7,2,10,5510,1.611848,3798,0.004094,0,0.005347
790,38877.2305,578700.0000,224344,0.268866,0.000000,0.073258,0.040741,-0.194598,-0.697655,0.000000,0.316448,0.157396,0.044614,-0.156406,12.5,6,17,5.7,3,11,4938,1.663724,4356,0.004414,0,0.006026
800,32449.4355,553750.0000,197382,0.142968,0.000000,0.015657,0.021099,0.273510,-0.733346,0.000000,0.576272,0.093066,0.037289,-0.103516,12.4,8,17,5.8,3,10,5529,1.606409,2707,0.003110,0,0.003671
810,46656.2734,678600.0625,231538,0.183443,0.000000,0.031490,0.021038,0.232469,-0.620043,0.000000,0.325982,0.120774,0.065170,0.011856,12.5,7,17,5.7,2,10,5268,1.677494,4531,0.000930,0,0.001000
820,29943.2500,560750.0000,180996,0.000635,0.000000,0.000000,0.022444,0.184604,-0.669783,0.000000,0.529538,0.058422,0.000000,0.000000,12.4,8,17,5.7,2,9,5880,1.647482,2876,0.002595,0,0.002718
830,27436.3652,527550.0000,176410,0.065721,0.000000,0.006873,0.014951,-0.129431,-0.656772,0.000000,0.226836,0.111835,0.000000,0.000000,12.2,8,17,5.8,2,10,5932,1.683269,4087,0.003131,0,0.004181
840,32672.2441,549000.0000,202318,0.014462,0.000000,0.017606,0.010235,0.169971,-0.671039,0.000000,0.524834,0.035915,0.000000,0.000000,12.2,8,16,5.7,2,9,5901,1.684677,3948,0.000729,0,0.000536
850,16645.4727,387050.0312,147317,0.000000,0.000000,0.000000,0.009040,0.050372,-0.708773,0.000000,0.372304,0.099851,0.000000,0.000000,12.2,6,16,5.8,2,10,6411,1.681141,3641,0.006620,0,0.005734
860,86996.8438,958100.0625,300801,0.262910,0.000000,0.020745,0.017265,0.262060,-0.551462,0.000000,0.241236,0.092708,0.045569,-0.138392,12.2,6,15,5.8,2,10,3716,1.674516,1495,0.000923,0,0.000588
870,47616.1367,680550.0000,233669,0.176394,0.000000,0.039077,0.032282,0.111102,-0.656843,0.000000,0.620195,0.084710,0.000000,0.000000,12.3,9,16,5.7,2,11,4832,1.604791,3813,0.001021,0,0.001105
880,69334.0859,907650.0000,253816,0.048631,0.000000,0.030472,0.017694,0.269687,-0.625939,0.000000,0.281891,0.118200,0.083197,-0.220328,12.3,8,16,5.8,3,9,4380,1.652159,4167,0.001396,0,0.001204
890,49881.6211,691100.0625,241314,0.091801,0.000000,0.029285,0.017703,0.288652,-0.694889,0.000000,0.279826,0.082301,0.046934,-0.129001,12.5,9,16,5.6,2,9,4822,1.679462,3242,0.001547,0,0.000272
900,59734.1445,779950.0000,256152,0.009099,0.000000,0.017494,0.014992,0.196262,-0.659672,0.000000,0.363639,0.038610,0.000000,0.000000,12.4,9,16,5.5,2,9,4725,1.633189,2636,0.001000,0,0.000783
910,76243.1484,920900.0000,274682,0.080443,0.000000,0.008299,0.005559,0.084712,-0.590159,0.000000,0.109538,0.082881,0.030096,0.070570,12.3,9,16,5.6,2,9,4103,1.635375,2535,0.001708,0,0.001031
920,61393.3203,833650.0000,244763,0.217431,0.000000,0.015270,0.010413,0.114253,-0.636387,0.000000,0.408401,0.108723,0.027551,-0.069519,12.3,9,16,5.6,2,9,4488,1.626763,1938,0.001779,0,0.000945
930,26756.2520,484800.0312,187438,0.000347,0.000000,0.000000,0.022830,0.209761,-0.678089,0.000000,0.425141,0.137745,0.000000,0.000000,12.2,8,17,5.6,2,10,5921,1.661831,4290,0.003917,0,0.007798
940,27253.0898,511000.0000,181801,0.008052,0.000000,0.040208,0.023450,0.055737,-0.684626,0.000000,0.294880,0.131779,0.000000,0.000000,12.1,7,18,5.7,2,10,6092,1.685353,3299,0.002460,0,0.001592
950,14435.0098,318150.0000,155245,0.041065,0.000000,0.152386,0.046968,0.165844,-0.714710,0.000000,0.306671,0.235910,0.172134,-0.166051,12.2,7,17,5.7,2,9,6335,1.683929,3847,0.004958,0,0.007268
960,52784.7109,733750.0000,240224,0.018496,0.000000,0.005288,0.034940,0.225615,-0.598161,0.000000,0.193589,0.083748,0.000000,0.000000,12.3,8,17,5.7,2,9,4753,1.655915,3489,0.001474,0,0.001282
970,50575.7188,722950.0000,234309,0.006866,0.000000,0.100401,0.021130,-0.073349,-0.611122,0.000000,0.132497,0.099034,0.000000,0.000000,12.3,7,18,5.5,2,11,4980,1.677263,3832,0.001487,0,0.001717
980,57207.0938,828800.0000,231421,0.162954,0.000000,0.043686,0.020190,0.188102,-0.590885,0.000000,0.208855,0.107087,0.055837,-0.152073,12.3,8,17,5.6,2,9,5039,1.684207,3790,0.000954,0,0.001590
990,39215.3867,679700.0000,194625,0.066485,0.000000,0.042389,0.018327,0.124508,-0.624262,0.000000,0.103195,0.138595,0.013617,0.037677,12.4,8,19,5.7,2,10,5589,1.697463,3949,0.003051,0,0.003898
1000,25045.9336,460350.0000,184293,0.000482,0.000000,0.000000,0.013864,0.218568,-0.743418,0.000000,0.528069,0.078767,0.000000,0.000000,12.3,9,18,5.6,2,11,5910,1.660706,2987,0.006082,0,0.008429
1010,41686.4414,654800.0000,214551,0.126818,0.000000,0.026323,0.017395,0.166290,-0.642163,0.000000,0.268604,0.089606,0.030180,-0.110384,12.2,9,17,5.6,2,9,5454,1.670109,1854,0.001607,0,0.002183
1020,48511.6094,667500.0000,241670,0.137067,0.000000,0.032701,0.012920,0.254286,-0.709738,0.000000,0.416469,0.135990,0.034100,-0.087376,12.3,9,16,5.7,2,9,4571,1.671880,3484,0.001430,0,0.001979
1030,42787.5234,660750.0000,216406,0.148958,0.000000,0.002730,0.010099,0.046099,-0.653062,0.000000,0.226800,0.090893,0.003004,0.024845,12.4,8,16,5.6,2,10,5027,1.585214,3793,0.001611,0,0.002018
1040,46895.5977,636600.0625,245871,0.006870,0.000000,0.053361,0.010410,0.267533,-0.749509,0.000000,0.487704,0.044707,0.000000,0.000000,12.4,8,16,5.6,2,10,4715,1.630912,1328,0.002576,0,0.000377
1050,31780.5332,305361.0000,220362,0.037745,0.000000,0.007435,0.011550,-0.970945,-0.796319,0.000000,0.611628,0.096562,0.000000,0.000000,12.2,8,18,5.7,2,10,5348,1.656799,1390,0.002670,0,0.001246
1060,15970.4385,190554.0000,156176,0.033819,0.000000,0.009560,0.013985,-0.970156,-0.759607,0.000000,0.463195,0.131725,0.000000,0.000000,12.2,7,17,5.6,2,10,6254,1.673956,4750,0.005680,0,0.005316
1070,40192.0078,663100.0625,203332,0.107548,0.000000,0.041626,0.019573,0.085078,-0.661713,0.000000,0.336599,0.051261,0.000000,0.000000,12.3,8,18,5.6,2,11,5306,1.621142,4496,0.003091,0,0.004093
1080,73266.3594,924800.0000,262568,0.104429,0.000000,0.020925,0.012896,0.287254,-0.600306,0.000000,0.191291,0.038798,0.027790,-0.077906,12.3,8,18,5.5,2,10,4133,1.609378,3131,0.000906,0,0.001511
1090,56679.4766,660950.0000,283127,0.086695,0.000000,0.022943,0.010048,0.304378,-0.777813,0.000000,0.607992,0.124266,0.072631,0.065160,12.4,9,19,5.5,2,9,3712,1.654524,823,0.002275,0,0.000412
1100,71889.3516,898450.0000,265705,0.206959,0.000000,0.014781,0.008784,0.194433,-0.604202,0.000000,0.263564,0.075321,0.012462,-0.054715,12.4,8,18,5.6,2,9,4205,1.633739,3219,0.001531,0,0.000586
1110,48893.8711,597900.0000,270596,0.002222,0.000000,0.072945,0.017825,0.230629,-0.776653,0.000000,0.638061,0.077029,0.000000,0.000000,12.3,8,19,5.8,2,10,4015,1.687938,2968,0.002265,0,0.000469
1120,51987.3906,712700.0000,244044,0.012873,0.000000,0.070919,0.034008,0.206043,-0.622181,0.000000,0.224768,0.135503,0.000000,0.000000,12.3,9,16,5.7,2,10,4859,1.688239,3621,0.002010,0,0.002175
1130,46445.2305,712800.0000,218605,0.220207,0.000000,0.090294,0.019412,0.093279,-0.656413,0.000000,0.391660,0.080349,0.106081,-0.286870,12.3,8,17,5.6,2,11,5216,1.646382,4825,0.001621,0,0.002190
1140,39475.6016,633800.0000,208704,0.001673,0.000000,0.255234,0.022639,0.148927,-0.683863,0.000000,0.295320,0.062781,0.000000,0.000000,12.3,8,17,5.7,2,12,5195,1.651005,2609,0.003194,0,0.004000
1150,28324.3555,532550.0000,179530,0.000000,0.000000,0.000000,0.012363,0.180099,-0.718930,0.000000,0.420250,0.122701,0.000000,0.000000,12.4,9,18,5.7,2,10,5732,1.672377,3805,0.002685,0,0.003147
1160,19582.0293,415150.0000,160928,0.101599,0.000000,0.084601,0.030268,-0.161096,-0.687478,0.000000,0.245065,0.098923,0.081465,-0.161674,12.4,8,17,5.6,2,10,6220,1.684815,3138,0.005967,0,0.008525
1170,65718.5547,815150.0000,268817,0.063156,0.000000,0.046010,0.017936,0.267815,-0.633352,0.000000,0.278040,0.158686,0.233600,0.494763,12.5,9,17,5.6,2,10,4449,1.678830,2825,0.000824,0,0.000564
1180,51648.1094,695900.0000,246988,0.119736,0.000000,0.024402,0.027062,0.271872,-0.667598,0.000000,0.397710,0.133633,0.055044,-0.064019,12.5,9,18,5.7,2,9,4568,1.681336,2299,0.002655,0,0.003046
1190,22598.0430,408050.0312,188616,0.021154,0.000000,0.041267,0.016462,0.070995,-0.709378,0.000000,0.456468,0.182474,0.000000,0.000000,12.2,8,16,5.7,2,10,6015,1.673084,3594,0.004930,0,0.003686
1200,43943.5430,675900.0000,217854,0.136907,0.000000,0.038008,0.025292,0.243673,-0.625713,0.000000,0.225836,0.105423,0.069429,-0.186474,12.2,9,16,5.6,2,10,5116,1.680781,4600,0.002646,0,0.003766
1210,26524.4609,465750.0000,192226,0.055086,0.000000,0.051409,0.016385,0.211453,-0.760181,0.000000,0.468510,0.115548,0.097061,-0.253438,12.2,7,16,5.5,2,10,5663,1.667989,3288,0.006204,0,0.005932
